country,median.age.2005,median.age.2010,median.age.2015,median.age.proj.2020,median.age.proj.2025,median.age.proj.2030,median.age.proj.2035,median.age.proj.2040,median.age.proj.2045,median.age.proj.2050
Afghanistan,16.49,16.868,17.326,17.81,18.319,18.936,19.775,20.918,22.196,23.522
Albania,28.532,29.968,31.796,33.636,35.737,37.988,40.292,42.258,43.702,44.268
Algeria,24.015,26.247,28.311,30.333,32.3,34.187,35.547,36.877,38.145,39.416
Angola,16.718,17.385,17.989,18.658,19.51,20.435,21.623,22.891,24.197,25.561
Argentina,29.12,30.439,31.615,32.837,34.147,35.551,36.931,38.163,39.271,40.386
Armenia,31.142,32.011,33.234,34.935,37.211,39.485,41.288,42.025,42.297,42.99
Aruba,36.417,38.7,40.642,41.742,42.112,42.322,42.972,43.853,44.475,44.413
Australia,36.553,37.776,38.842,39.6,40.432,41.213,41.925,42.44,42.728,42.937
Austria,39.953,41.768,43.495,44.785,45.604,46.579,47.46,48.196,48.655,48.543
Azerbaijan,27.08,28.42,29.936,32.029,34.235,36.398,37.966,38.787,39.405,40.588
Bahamas,28.054,29.695,31.609,33.386,35.03,36.846,38.496,39.996,41.01,41.852
Bahrain,27.617,28.082,30,31.876,33.75,35.573,37.158,38.566,39.817,40.796
Bangladesh,22.544,24.504,26.502,28.447,30.372,32.343,34.295,36.167,37.769,39.152
Barbados,35.53,37.771,39.992,41.715,43.497,45.284,46.885,48.059,48.657,48.614
Belarus,37.339,38.223,39.362,40.769,42.607,44.628,46.659,48.16,48.799,48.548
Belgium,40.232,41.301,42.38,43.175,43.742,44.231,44.628,44.925,44.879,44.684
Belize,20.623,22.267,23.992,25.899,27.878,29.914,31.984,33.929,35.713,37.415
Benin,17.979,18.359,18.785,19.43,20.33,21.558,22.885,24.266,25.719,27.215
Bhutan,21.901,24.232,26.449,28.516,30.609,32.525,34.336,36.053,37.486,38.787
Bolivia,20.828,21.888,23.221,24.762,26.447,28.231,30.102,32.044,33.975,35.891
Bosnia and Herzegovina,37.332,39.291,41.049,42.767,44.53,46.495,48.466,50.378,51.389,52.196
Botswana,21.322,22.779,23.987,25.061,25.98,26.791,27.689,28.747,29.92,31.211
Brazil,26.979,29.009,31.325,33.603,35.832,37.936,39.907,41.936,43.807,45.565
Brunei,26.432,27.785,29.205,30.704,32.226,33.657,34.967,36.023,36.97,37.745
Bulgaria,40.758,41.731,42.881,44.307,45.986,47.557,48.97,50.206,50.405,49.506
Burkina Faso,16.907,16.69,16.812,17.317,18.309,19.609,20.966,22.316,23.685,25.098
Burundi,18.386,20.288,21.386,22.297,23.269,24.412,25.837,27.378,28.887,30.398
Cambodia,20.285,22.317,24.16,26.007,27.623,29.115,30.337,31.676,33.089,34.598
Cameroon,18.702,19.212,19.863,20.622,21.721,22.997,24.345,25.742,27.124,28.484
Canada,38.58,39.878,40.94,41.923,42.852,43.736,44.538,45.238,45.389,45.174
Cape Verde,19.272,21.261,23.27,25.275,27.416,29.61,31.82,33.95,35.883,37.808
Caribbean,28.033,29.578,31.147,32.553,33.876,35.155,36.514,37.839,39.064,40.169
Central African Republic,18.917,19.502,20.236,21.226,22.299,23.396,24.527,25.768,27.058,28.353
Chad,16.872,17.052,17.407,17.944,18.641,19.479,20.537,21.788,23.114,24.488
Channel Islands,40.05,42.152,44.206,45.838,46.925,47.569,48.111,48.719,49.117,49.322
Chile,30.558,32.057,33.553,35.176,37.002,38.775,40.482,41.714,42.56,43.143
China,32.062,34.21,35.584,37.091,38.908,41.077,42.832,44.118,44.862,45.159
Hong Kong,39.26,41.861,43.82,45.58,47.135,48.622,50.031,51.151,52.168,52.711
"Macao, China",36.272,38.315,41.235,43.81,46.064,48.347,50.522,52.723,54.627,55.779
Colombia,25.238,26.765,28.337,29.926,31.623,33.261,34.819,36.319,37.742,39.045
Comoros,20.378,21.081,21.754,22.7,23.912,25.314,26.939,28.494,30.033,31.487
Congo,18.943,19.462,20.647,21.846,23.008,24.292,25.668,27.08,28.488,29.899
Costa Rica,26.113,28.181,30.197,32.406,34.524,36.481,38.24,39.762,41.016,41.92
Cote d'Ivoire,19.081,19.479,20.194,21.159,22.309,23.565,24.879,26.334,27.806,29.29
Croatia,40.33,41.555,42.609,43.682,44.907,46.169,47.162,47.849,48.226,48.171
Cuba,35.488,38.3,40.989,43.022,44.528,45.889,47.664,49.451,50.846,51.881
Cyprus,35.321,36.491,37.717,38.998,40.379,41.74,43.035,44.086,44.48,44.409
Czech Republic,38.828,39.59,41.187,42.906,44.661,45.856,46.905,47.513,47.132,46.208
North Korea,32.253,33.958,34.616,35.838,36.996,38.375,39.963,41.169,41.784,41.897
Democratic Republic of the Congo,16.079,16.629,17.311,18.138,19.122,20.234,21.615,23.087,24.633,26.313
Denmark,39.537,40.802,41.968,42.743,42.763,42.431,42.595,43.027,43.397,43.639
Djibouti,20.077,21.499,22.953,24.356,25.6,26.849,28.096,29.33,30.574,31.845
Dominican Republic,23.781,25.013,26.469,28,29.573,31.127,32.731,34.343,35.973,37.534
Ecuador,23.98,25.448,27.07,28.712,30.433,32.307,34.16,35.951,37.615,39.124
Egypt,22.382,23.915,25.631,26.999,28.352,29.728,31.215,32.758,34.348,36
El Salvador,22.689,23.944,25.401,27.286,29.139,31.157,32.925,34.495,36.026,37.587
Equatorial Guinea,18.583,19.258,19.681,20.051,20.581,21.405,22.451,23.589,24.791,26.063
Eritrea,18.583,19.097,19.619,20.292,21.669,23.263,24.901,26.517,27.991,29.394
Estonia,38.978,39.581,40.113,40.713,41.767,43.212,44.709,44.677,43.485,42.981
Ethiopia,17.391,18.022,18.86,19.793,20.897,22.21,23.645,25.171,26.839,28.536
Fiji,23.651,24.997,26.259,27.685,29.176,30.817,32.453,34.111,35.778,37.474
Finland,40.89,41.984,42.609,43.043,43.644,44.208,44.594,45.045,44.997,44.811
France,38.868,40.112,41.313,42.142,42.855,43.563,44.046,44.214,44.381,44.759
French Guiana,23.307,24.03,25.046,26.545,27.947,29.322,30.79,32.161,33.456,34.689
French Polynesia,27.072,28.464,30.014,32.144,34.096,35.572,37.094,38.409,39.493,40.577
Gabon,20.299,21.554,22.931,24.392,25.768,27.097,28.389,29.679,31.061,32.478
Gambia,18.625,18.799,19.333,20.148,21.208,22.356,23.584,24.878,26.286,27.719
Georgia,35.722,37.582,38.779,39.768,40.981,42.687,44.469,45.939,46.108,45.816
Germany,42.075,44.328,46.428,47.918,48.803,49.489,50.325,51.2,51.659,51.699
Ghana,19.756,20.606,21.496,22.413,23.369,24.401,25.545,26.753,27.922,29.055
Greece,39.942,41.638,43.326,44.978,46.688,48.167,49.296,49.758,49.756,49.507
Grenada,23.322,24.98,27.172,29.341,31.432,33.622,35.689,37.462,39.084,41.017
Guadeloupe,35.119,36.562,37.412,38.398,40.077,41.728,43.141,44.262,45.143,46.243
Guam,28.39,29.186,29.996,31.131,32.462,33.89,35.353,36.694,37.88,38.915
Guatemala,18.154,18.834,19.799,21.056,22.517,24.121,25.912,27.85,29.86,31.987
Guinea,18.095,18.457,18.938,19.584,20.51,21.715,23.027,24.409,25.892,27.419
Guinea-Bissau,18.845,18.66,18.808,19.23,19.809,20.633,21.594,22.625,23.71,24.834
Guyana,26.068,27.418,28.734,29.713,31.244,33.202,35.526,37.843,40.2,41.918
Haiti,20.296,21.556,22.805,24.062,25.381,26.734,28.156,29.64,31.226,32.877
Honduras,19.511,20.945,22.575,24.284,26.109,27.999,29.94,32.038,34.09,36.081
Hungary,39.051,39.807,41.062,42.594,44.103,45.141,46.01,46.677,46.804,46.553
Iceland,34.222,35.098,36.443,38.008,39.699,41.365,42.906,44.155,44.838,45.145
India,23.682,24.96,26.478,28.115,29.86,31.686,33.517,35.263,36.896,38.441
Indonesia,26.479,28.235,30.097,31.975,33.776,35.444,36.983,38.45,39.885,41.15
Iran,24.075,26.799,29.483,32.191,35.038,37.314,39.146,39.808,40.727,41.942
Iraq,18.85,19.327,20.679,22.252,23.798,25.259,26.794,28.314,29.812,31.345
Ireland,33.346,34.582,36.339,38.077,39.768,40.982,41.702,42.09,42.552,43.271
Israel,28.826,29.723,30.67,31.671,32.682,33.746,34.945,36.3,37.695,39.106
Italy,41.746,43.316,45.134,47.039,48.743,50.081,50.726,50.889,50.824,50.539
Jamaica,25.467,26.261,27.352,28.73,30.488,32.342,34.149,35.711,37.234,38.719
Japan,43.107,44.747,46.602,48.584,50.648,52.241,53.499,54.408,54.894,55.121
Jordan,20.88,22.804,24.116,25.716,27.518,29.363,31.249,33.215,35.131,36.955
Kazakhstan,28.801,29.373,30.326,31.887,33.484,34.879,35.203,35.727,36.966,38.376
Kenya,18.063,18.377,18.692,19.313,20.309,21.673,23.003,24.297,25.577,26.881
Kuwait,29.187,30.592,32.291,34.008,35.459,36.669,37.675,38.516,39.283,40.058
Kyrgyzstan,23.807,25.062,26.736,28.508,30.444,32.268,33.828,35.027,36.682,38.347
Laos,19.24,20.639,22.197,23.728,25.32,26.609,27.997,29.457,31.006,32.602
Latvia,39.235,40.04,40.924,41.788,42.995,44.586,46.532,47.73,47.395,46.142
Lebanon,27.282,29.154,31.043,32.835,34.568,36.388,38.223,39.992,41.011,41.72
Lesotho,18.967,19.765,20.584,21.442,22.205,22.965,23.773,24.666,25.683,26.771
Liberia,18.05,18.519,19.142,19.978,21.098,22.334,23.641,25.005,26.485,27.967
Libya,24.143,26.207,27.838,29.319,30.79,32.514,34.207,35.883,37.53,39.139
Lithuania,37.815,39.846,41.246,42.157,43.077,44.357,46.023,47.362,48.006,47.48
Luxembourg,38.28,39.299,39.967,40.291,40.496,40.788,41.272,41.773,42.059,42.108
Madagascar,17.714,18.399,19.33,20.475,21.718,22.999,24.317,25.716,27.164,28.603
Malawi,16.57,16.825,17.504,18.301,19.136,20.077,21.269,22.555,23.89,25.285
Malaysia,24.722,26.303,27.956,29.646,31.461,33.25,34.901,36.494,37.956,39.323
Maldives,21.69,24.363,27.007,29.529,32.067,34.612,36.687,38.363,39.476,40.512
Mali,17.384,17.632,17.944,18.455,19.245,20.359,21.651,22.922,24.177,25.455
Malta,37.576,39.021,40.677,42.459,44.201,45.866,47.396,48.754,49.844,50.523
Martinique,36.709,38.723,40.572,41.337,42.174,43.349,44.769,46.216,47.401,48.377
Mauritania,19.343,20.095,20.914,21.967,23.189,24.51,25.962,27.442,28.905,30.342
Mauritius,30.688,32.615,34.238,35.603,36.724,38.039,39.461,40.564,41.315,41.713
Mayotte,18.549,20.205,22.219,24.154,26.204,28.164,30.14,31.961,33.629,35.143
Melanesia,20.219,20.847,21.774,22.966,24.22,25.501,26.86,28.24,29.612,30.974
Mexico,25.464,27.593,29.698,31.893,34.033,36.217,38.317,40.341,42.205,43.896
Micronesia,24.781,25.795,26.72,27.98,29.399,30.893,32.307,33.659,34.963,36.187
Mongolia,24.155,26.326,28.603,31,33.136,35.184,36.802,38.041,38.931,39.888
Montenegro,34.719,35.856,37.16,38.366,39.639,40.995,41.889,42.667,43.385,43.858
Morocco,24.327,26.215,28.025,29.825,31.595,33.291,34.834,36.153,37.47,38.806
Mozambique,17.832,17.892,18.308,19.071,20.121,21.239,22.327,23.431,24.58,25.833
Myanmar,26.203,27.9,29.638,31.35,33.029,34.618,35.981,37.287,38.504,39.663
Namibia,19.866,21.071,22.351,23.559,24.638,25.71,26.864,28.034,29.24,30.518
Nepal,20.12,21.562,23.122,24.695,26.423,28.121,29.796,31.311,32.798,34.27
Netherlands,39.057,40.839,42.265,43.184,43.508,43.691,43.948,44.215,44.426,44.624
Netherlands Antilles,36.053,38.372,40.88,43.047,45.213,47.371,49.387,50.727,51.431,51.053
New Caledonia,28.715,30.31,31.86,33.434,35.07,36.659,38.203,39.666,40.753,41.648
New Zealand,35.595,36.64,37.406,38.172,39.126,40.24,41.342,42.124,42.65,43.094
Nicaragua,20.385,22.04,23.761,25.686,27.637,29.576,31.45,33.363,35.285,37.212
Niger,15.514,14.951,14.844,14.994,15.719,16.369,17.031,17.844,18.884,20.159
Nigeria,18.192,18.578,19.16,20.009,21.237,22.596,23.985,25.397,26.813,28.204
Norway,37.965,38.901,39.959,40.592,41.057,41.623,42.311,42.958,43.411,43.675
West Bank and Gaza,16.911,17.564,18.537,19.798,21.233,22.68,24.146,25.679,27.276,28.874
Oman,22.855,24.309,26.203,27.832,29.361,30.977,32.421,34.08,35.64,37.152
Pakistan,19.958,21.293,22.49,23.703,24.964,26.407,27.913,29.444,31.081,32.69
Panama,26.057,27.337,28.692,30.107,31.501,32.931,34.393,35.886,37.308,38.599
Papua New Guinea,19.518,20.037,20.928,22.122,23.372,24.634,25.986,27.366,28.748,30.12
Paraguay,21.666,23.061,24.521,26.085,27.691,29.304,30.931,32.532,34.076,35.579
Peru,24.233,25.591,27.224,28.939,30.751,32.547,34.293,35.997,37.633,39.157
Philippines,21.993,23.2,24.533,26.014,27.496,28.967,30.421,31.964,33.496,35.012
Poland,36.761,38.208,39.803,41.738,43.81,46.024,47.968,49.613,50.673,51.008
Polynesia,23.166,24.158,25.526,27.335,29.081,30.587,32.037,33.399,34.705,36.089
Portugal,39.324,40.958,42.792,44.71,46.606,48.246,49.506,50.095,50.308,50.404
Puerto Rico,34.23,36.009,37.701,39.298,40.783,42.069,43.259,44.346,45.226,45.547
Qatar,29.951,30.106,33.555,33.615,35.209,36.32,37.112,37.674,38.109,38.505
South Korea,34.969,37.896,40.718,43.22,45.476,47.636,49.619,50.977,52.445,53.744
Moldova,34.049,35.219,36.255,37.64,39.431,41.79,43.951,45.539,45.538,44.7
Reunion,29.476,30.195,31.283,32.529,33.8,34.989,36.031,37.171,38.292,39.29
Romania,36.678,38.499,40.207,42.18,44.073,45.673,47.464,48.929,49.316,49.494
Russia,37.323,38.054,38.912,40.011,41.733,43.549,45.314,45.539,44.488,43.96
Rwanda,17.865,18.709,18.78,19.143,20.016,21.397,22.853,24.269,25.644,26.951
Saint Lucia,25.749,27.47,29.381,31.477,33.538,35.567,37.312,38.771,39.848,41.026
Saint Vincent and the Grenadines,26.307,27.829,29.463,31.177,32.979,34.731,36.3,37.414,38.362,39.322
Samoa,18.976,19.565,21.123,22.849,24.485,25.974,27.135,28.312,29.653,31.428
Sao Tome and Principe,18.716,19.265,20.308,21.851,23.454,25.115,26.839,28.529,30.186,31.851
Saudi Arabia,23.288,24.56,25.986,27.524,29.097,30.652,32.25,33.821,35.24,36.611
Senegal,17.475,17.96,18.681,19.637,20.889,22.381,23.898,25.425,26.945,28.437
Serbia,36.591,37.574,38.649,39.832,41.13,42.366,43.389,44.038,44.327,44.731
Sierra Leone,18.447,18.225,18.237,18.752,19.606,20.653,21.788,22.925,24.071,25.262
Singapore,37.501,40.629,43.384,45.71,47.266,48.429,49.517,50.769,52.284,53.524
Slovakia,35.443,37.199,39.049,41.154,43.228,45.264,47.038,48.49,49.443,49.489
Slovenia,40.072,41.689,43.116,44.555,46.161,47.62,48.834,49.591,49.43,48.744
Solomon Islands,19.423,20.327,21.563,22.918,24.328,25.818,27.354,28.87,30.36,31.835
Somalia,17.645,17.553,17.682,18.118,18.685,19.329,20.118,21.135,22.304,23.57
Spain,38.652,40.174,41.903,43.794,45.911,47.638,48.836,49.136,48.814,48.245
Sri Lanka,29.33,30.565,32.406,34.35,36.127,37.506,38.37,39.031,40.252,41.643
Sudan,19.345,20.255,21.479,22.803,24.153,25.507,26.905,28.29,29.656,31.046
Suriname,26.143,27.568,29.128,30.702,32.029,33.495,35.214,36.938,38.45,39.666
Swaziland,18.095,19.3,20.568,21.57,22.319,23.075,23.942,24.907,25.99,27.097
Sweden,40.103,40.887,41.606,41.961,42.105,42.532,43.212,43.642,43.312,43.235
Switzerland,40.349,41.915,43.169,43.919,44.254,44.611,44.96,45.328,45.317,44.877
Syria,20.566,22.503,23.62,24.778,26.435,28.285,30.191,32.336,34.4,36.428
Tajikistan,19.156,20.734,22.336,23.847,25.384,27.017,28.756,30.564,32.529,34.423
Macedonia,34.209,36.011,37.81,39.537,41.294,42.974,44.605,46.084,47.119,47.636
Thailand,31.473,33.174,34.715,36.188,37.542,38.77,39.842,40.491,40.952,41.369
Timor-Leste,16.731,17.371,17.97,18.212,18.439,19.241,20.49,22.022,23.517,24.987
Togo,18.937,19.82,20.826,21.968,23.207,24.519,25.922,27.395,28.878,30.366
Tonga,21.182,21.327,21.336,22.42,23.74,25.202,26.804,28.294,29.706,31.043
Trinidad and Tobago,28.86,30.806,33.101,35.551,37.922,40.236,41.628,42.332,42.521,42.764
Tunisia,26.889,29.077,31.285,33.496,35.729,37.805,39.74,40.993,41.837,42.522
Turkey,26.458,28.344,30.222,31.914,33.625,35.364,37.02,38.46,39.651,40.745
Turkmenistan,23.109,24.708,26.689,28.689,30.803,32.593,34.144,35.638,37.037,38.382
Uganda,15.301,15.569,15.967,16.567,17.428,18.503,19.723,21.155,22.649,24.189
Ukraine,38.913,39.521,40.228,41.202,42.624,44.284,45.888,46.637,46.027,44.726
United Arab Emirates,29.472,31.673,33.072,34.381,34.981,35.418,36.53,37.405,37.991,38.554
United Kingdom,38.859,39.858,40.309,40.45,40.788,41.375,41.968,42.327,42.397,42.465
Tanzania,17.486,17.492,17.558,17.971,18.732,19.744,20.985,22.228,23.481,24.765
United States,35.959,36.59,37.173,37.868,38.691,39.546,40.334,40.838,41.25,41.715
U.S. Virgin Islands,36.71,38.497,39.807,39.49,40.277,41.45,43.018,44.867,46.167,47.584
Uruguay,32.659,33.737,34.847,35.641,36.706,37.96,39.274,40.499,41.566,42.518
Uzbekistan,22.675,24.538,26.665,28.753,30.926,32.917,34.788,36.273,37.548,38.735
Vanuatu,19.445,20.489,21.662,22.899,24.2,25.596,27.113,28.627,30.15,31.696
Venezuela,24.626,26.106,27.686,29.297,30.875,32.419,33.921,35.419,36.924,38.32
Vietnam,25.572,28.522,30.193,32.298,34.415,36.705,38.742,40.329,41.53,42.446
Yemen,16.802,17.797,18.782,19.776,20.898,22.304,23.845,25.508,27.293,29.108
Zambia,16.814,16.754,17.097,17.805,18.682,19.717,20.912,22.148,23.397,24.676
Zimbabwe,18.388,19.02,20.703,22.144,23.287,24.444,25.798,27.324,28.924,30.655