"","WATERSHED","SAMPLE_DATE","SITE_NAME","SITE_TYPE","MEDIUM","PARAM_TYPE","PARAMETER","QUALIFIER","RESULT","UNIT","FILTER","SAMPLE_ID","SAMPLE_SITE_NO","DEPTH_IN_METERS","METHOD","QC_FLAG","PROJECT","Location","DATA_REF_NO","LAT_DD_WGS84","LON_DD_WGS84","SAMPLE_REF_NO","TIME_NULL","QC_TYPE","YEAR"
"209","Lady Bird Lake",2018-06-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.05","MG/L","Dissolved","5-LBL @ Red Bud dp1",5,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634051,30.2871112881052,-97.7857300357344,527946,FALSE,"","2018"
"210","Lady Bird Lake",2018-06-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.06","MG/L","Dissolved","5-LBL @ Red Bud SURF",5,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634045,30.2871112881052,-97.7857300357344,527927,FALSE,"","2018"
"211","Lady Bird Lake",2018-06-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.04","MG/L","Dissolved","5-LBL @ Red Bud dp3",5,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634072,30.2871112881052,-97.7857300357344,527950,FALSE,"","2018"
"212","Lady Bird Lake",2018-06-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.08","MG/L","Dissolved","5-LBL @ Red Bud dp2",5,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634056,30.2871112881052,-97.7857300357344,527947,FALSE,"","2018"
"213","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","0.5","MG/L","Dissolved","1-LBL @ Basin BOTT",1,6.93,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634112,30.2471428466364,-97.7163761748406,527957,FALSE,"","2018"
"214","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","2.93","MG/L","Dissolved","1-LBL @ Basin dp6",1,6,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634097,30.2471428466364,-97.7163761748406,527954,FALSE,"","2018"
"215","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.13","MG/L","Dissolved","1-LBL @ Basin dp5",1,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634084,30.2471428466364,-97.7163761748406,527953,FALSE,"","2018"
"216","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.09","MG/L","Dissolved","1-LBL @ Basin dp4",1,4,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634079,30.2471428466364,-97.7163761748406,527952,FALSE,"","2018"
"217","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.7","MG/L","Dissolved","1-LBL @ Basin dp3",1,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634291,30.2471428466364,-97.7163761748406,527951,FALSE,"","2018"
"218","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.09","MG/L","Dissolved","1-LBL @ Basin dp1",1,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634387,30.2471428466364,-97.7163761748406,527971,FALSE,"","2018"
"219","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.96","MG/L","Dissolved","1-LBL @ Basin dp2",1,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634286,30.2471428466364,-97.7163761748406,527975,FALSE,"","2018"
"220","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.96","MG/L","Dissolved","1-LBL @ Basin dp0.3",1,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2634299,30.2471428466364,-97.7163761748406,527974,FALSE,"","2018"
"221","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.06","MG/L","Dissolved","2-LBL @ 1st dp2",2,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2634110,30.2630555995556,-97.7475278001577,527936,FALSE,"","2018"
"222","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.99","MG/L","Dissolved","2-LBL @ 1st dp3",2,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2634021,30.2630555995556,-97.7475278001577,527937,FALSE,"","2018"
"223","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.95","MG/L","Dissolved","2-LBL @ 1st dp4",2,4,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2634026,30.2630555995556,-97.7475278001577,527939,FALSE,"","2018"
"224","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.91","MG/L","Dissolved","2-LBL @ 1st BOTT",2,5.01,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2634031,30.2630555995556,-97.7475278001577,527940,FALSE,"","2018"
"225","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.83","MG/L","Dissolved","2-LBL @ 1st dp0.3",2,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2634038,30.2630555995556,-97.7475278001577,527943,FALSE,"","2018"
"226","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.07","MG/L","Dissolved","2-LBL @ 1st dp1",2,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2634105,30.2630555995556,-97.7475278001577,527956,FALSE,"","2018"
"227","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.52","MG/L","Dissolved","5-LBL @ Red Bud dp5",5,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634041,30.2871112881052,-97.7857300357344,527944,FALSE,"","2018"
"228","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.21","MG/L","Dissolved","5-LBL @ Red Bud dp1",5,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2633860,30.2871112881052,-97.7857300357344,527931,FALSE,"","2018"
"229","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.2","MG/L","Dissolved","5-LBL @ Red Bud dp2",5,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634060,30.2871112881052,-97.7857300357344,527948,FALSE,"","2018"
"230","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.2","MG/L","Dissolved","5-LBL @ Red Bud dp3.01",5,3.01,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2633839,30.2871112881052,-97.7857300357344,527923,FALSE,"","2018"
"231","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.2","MG/L","Dissolved","5-LBL @ Red Bud dp4.02",5,4.02,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2633844,30.2871112881052,-97.7857300357344,527924,FALSE,"","2018"
"232","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.62","MG/L","Dissolved","5-LBL @ Red Bud BOTT",5,5.43,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2634066,30.2871112881052,-97.7857300357344,527949,FALSE,"","2018"
"233","Lady Bird Lake",2018-05-16,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.18","MG/L","Dissolved","5-LBL @ Red Bud SURF",5,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2633854,30.2871112881052,-97.7857300357344,527930,FALSE,"","2018"
"234","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","3.65","MG/L","Dissolved","1-LBL @ Basin dp7",1,7,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626889,30.2471428466364,-97.7163761748406,527000,FALSE,"","2018"
"235","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","5.45","MG/L","Dissolved","1-LBL @ Basin dp6",1,6,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626835,30.2471428466364,-97.7163761748406,526990,FALSE,"","2018"
"236","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","1.65","MG/L","Dissolved","1-LBL @ Basin BOTT",1,7.91,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2630115,30.2471428466364,-97.7163761748406,527001,FALSE,"","2018"
"237","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","12.09","MG/L","Dissolved","1-LBL @ Basin dp1",1,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626745,30.2471428466364,-97.7163761748406,526976,FALSE,"","2018"
"238","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.01","MG/L","Dissolved","1-LBL @ Basin dp5",1,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626815,30.2471428466364,-97.7163761748406,526987,FALSE,"","2018"
"239","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.8","MG/L","Dissolved","1-LBL @ Basin dp4",1,4,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626809,30.2471428466364,-97.7163761748406,526982,FALSE,"","2018"
"240","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","11.21","MG/L","Dissolved","1-LBL @ Basin dp3",1,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626773,30.2471428466364,-97.7163761748406,526981,FALSE,"","2018"
"241","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","12.25","MG/L","Dissolved","1-LBL @ Basin dp2",1,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626767,30.2471428466364,-97.7163761748406,526980,FALSE,"","2018"
"242","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","12.05","MG/L","Dissolved","1-LBL @ Basin SURF",1,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2626729,30.2471428466364,-97.7163761748406,526973,FALSE,"","2018"
"243","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.17","MG/L","Dissolved","2-LBL @ 1st dp4",2,4,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626614,30.2630555995556,-97.7475278001577,526947,FALSE,"","2018"
"244","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.8","MG/L","Dissolved","2-LBL @ 1st dp5",2,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626635,30.2630555995556,-97.7475278001577,526952,FALSE,"","2018"
"245","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.4","MG/L","Dissolved","2-LBL @ 1st BOTT",2,5.16,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626641,30.2630555995556,-97.7475278001577,526953,FALSE,"","2018"
"246","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.65","MG/L","Dissolved","2-LBL @ 1st dp2",2,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626554,30.2630555995556,-97.7475278001577,526935,FALSE,"","2018"
"247","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.48","MG/L","Dissolved","2-LBL @ 1st dp3",2,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626608,30.2630555995556,-97.7475278001577,526946,FALSE,"","2018"
"248","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.53","MG/L","Dissolved","2-LBL @ 1st SURF",2,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626541,30.2630555995556,-97.7475278001577,526933,FALSE,"","2018"
"249","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.45","MG/L","Dissolved","2-LBL @ 1st dp1",2,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2626548,30.2630555995556,-97.7475278001577,526934,FALSE,"","2018"
"250","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.65","MG/L","Dissolved","5-LBL @ Red Bud dp4",5,4,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626702,30.2871112881052,-97.7857300357344,526966,FALSE,"","2018"
"251","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.58","MG/L","Dissolved","5-LBL @ Red Bud BOTT",5,6,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626805,30.2871112881052,-97.7857300357344,526986,FALSE,"","2018"
"252","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.63","MG/L","Dissolved","5-LBL @ Red Bud dp5",5,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626749,30.2871112881052,-97.7857300357344,526977,FALSE,"","2018"
"253","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.28","MG/L","Dissolved","5-LBL @ Red Bud dp1",5,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626779,30.2871112881052,-97.7857300357344,526979,FALSE,"","2018"
"254","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.4","MG/L","Dissolved","5-LBL @ Red Bud dp2",5,2,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626785,30.2871112881052,-97.7857300357344,526983,FALSE,"","2018"
"255","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.14","MG/L","Dissolved","5-LBL @ Red Bud dp3",5,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626696,30.2871112881052,-97.7857300357344,526965,FALSE,"","2018"
"256","Lady Bird Lake",2018-04-25,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.23","MG/L","Dissolved","5-LBL @ Red Bud SURF",5,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2626755,30.2871112881052,-97.7857300357344,526978,FALSE,"","2018"
"257","Lady Bird Lake",2018-03-21,"Cold Spring","Spring","Ground Water","Oxygen","DISSOLVED OXYGEN","","6.29","MG/L","Dissolved","9-Cold Spg",9,NA,"Quanta Probe","U","Barton Springs TPDES","(30.2796281473922, -97.7805024014199)",2626205,30.2796281473922,-97.7805024014199,526426,FALSE,"","2018"
"258","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6.45","MG/L","Dissolved","1-LBL @ Basin dp7",1,7,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623440,30.2471428466364,-97.7163761748406,525310,FALSE,"","2018"
"259","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","6","MG/L","Dissolved","1-LBL @ Basin BOTT",1,7.5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623445,30.2471428466364,-97.7163761748406,525311,FALSE,"","2018"
"260","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.56","MG/L","Dissolved","1-LBL @ Basin dp3.98",1,3.98,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623425,30.2471428466364,-97.7163761748406,525307,FALSE,"","2018"
"261","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.72","MG/L","Dissolved","1-LBL @ Basin dp5.01",1,5.01,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623430,30.2471428466364,-97.7163761748406,525308,FALSE,"","2018"
"262","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.58","MG/L","Dissolved","1-LBL @ Basin dp1.98",1,1.98,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623417,30.2471428466364,-97.7163761748406,525305,FALSE,"","2018"
"263","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.55","MG/L","Dissolved","1-LBL @ Basin dp3",1,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623420,30.2471428466364,-97.7163761748406,525306,FALSE,"","2018"
"264","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","7.29","MG/L","Dissolved","1-LBL @ Basin dp5.99",1,5.99,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623435,30.2471428466364,-97.7163761748406,525309,FALSE,"","2018"
"265","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.54","MG/L","Dissolved","1-LBL @ Basin dp0.3",1,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623397,30.2471428466364,-97.7163761748406,525300,FALSE,"","2018"
"266","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Basin (AC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","10.58","MG/L","Dissolved","1-LBL @ Basin dp1.01",1,1.01,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2471428466364, -97.7163761748406)",2623412,30.2471428466364,-97.7163761748406,525301,FALSE,"","2018"
"267","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","8.95","MG/L","Dissolved","2-LBL @ 1st BOTT",2,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2623453,30.2630555995556,-97.7475278001577,525315,FALSE,"","2018"
"268","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.25","MG/L","Dissolved","2-LBL @ 1st dp4.01",2,4.01,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2623210,30.2630555995556,-97.7475278001577,525280,FALSE,"","2018"
"269","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.28","MG/L","Dissolved","2-LBL @ 1st dp1.99",2,1.99,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2623469,30.2630555995556,-97.7475278001577,525318,FALSE,"","2018"
"270","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.25","MG/L","Dissolved","2-LBL @ 1st dp2.99",2,2.99,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2623474,30.2630555995556,-97.7475278001577,525279,FALSE,"","2018"
"271","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.34","MG/L","Dissolved","2-LBL @ 1st dp1",2,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2623464,30.2630555995556,-97.7475278001577,525317,FALSE,"","2018"
"272","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ 1st St (CC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.35","MG/L","Dissolved","2-LBL @ 1st SURF",2,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2630555995556, -97.7475278001577)",2623458,30.2630555995556,-97.7475278001577,525316,FALSE,"","2018"
"273","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.71","MG/L","Dissolved","5-LBL @ Red Bud BOTT",5,5.39,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623250,30.2871112881052,-97.7857300357344,525291,FALSE,"","2018"
"274","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.71","MG/L","Dissolved","5-LBL @ Red Bud dp5",5,5,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623245,30.2871112881052,-97.7857300357344,525290,FALSE,"","2018"
"275","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.81","MG/L","Dissolved","5-LBL @ Red Bud dp3",5,3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623235,30.2871112881052,-97.7857300357344,525288,FALSE,"","2018"
"276","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.77","MG/L","Dissolved","5-LBL @ Red Bud dp4",5,4,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623240,30.2871112881052,-97.7857300357344,525289,FALSE,"","2018"
"277","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.71","MG/L","Dissolved","5-LBL @ Red Bud dp1.99",5,1.99,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623230,30.2871112881052,-97.7857300357344,525287,FALSE,"","2018"
"278","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.65","MG/L","Dissolved","5-LBL @ Red Bud dp1",5,1,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623225,30.2871112881052,-97.7857300357344,525286,FALSE,"","2018"
"279","Lady Bird Lake",2018-02-21,"Lady Bird Lake @ Red Bud Isle (EC)","Lake","Surface Water","Oxygen","DISSOLVED OXYGEN","","9.92","MG/L","Dissolved","5-LBL @ Red Bud SURF",5,0.3,"HYDROLAB","U","Austin Lakes Index (ALI)","(30.2871112881052, -97.7857300357344)",2623219,30.2871112881052,-97.7857300357344,525285,FALSE,"","2018"
